State,data_monthid,category,Million_Vehicle_Miles,area,monthid
florida,201903,Rural_Arterial_201802,1913,rural,201802
georgia,201903,Rural_Arterial_201802,1456,rural,201802
maryland,201903,Rural_Arterial_201802,382,rural,201802
north carolina,201903,Rural_Arterial_201802,1388,rural,201802
south carolina,201903,Rural_Arterial_201802,1169,rural,201802
virginia,201903,Rural_Arterial_201802,1363,rural,201802
west virginia,201903,Rural_Arterial_201802,395,rural,201802
illinois,201903,Rural_Arterial_201802,1322,rural,201802
indiana,201903,Rural_Arterial_201802,1035,rural,201802
iowa,201903,Rural_Arterial_201802,861,rural,201802
kansas,201903,Rural_Arterial_201802,682,rural,201802
michigan,201903,Rural_Arterial_201802,1241,rural,201802
minnesota,201903,Rural_Arterial_201802,1045,rural,201802
missouri,201903,Rural_Arterial_201802,1005,rural,201802
nebraska,201903,Rural_Arterial_201802,523,rural,201802
north dakota,201903,Rural_Arterial_201802,307,rural,201802
ohio,201903,Rural_Arterial_201802,1252,rural,201802
south dakota,201903,Rural_Arterial_201802,316,rural,201802
wisconsin,201903,Rural_Arterial_201802,1186,rural,201802
alabama,201903,Rural_Arterial_201802,1147,rural,201802
arkansas,201903,Rural_Arterial_201802,672,rural,201802
kentucky,201903,Rural_Arterial_201802,971,rural,201802
louisiana,201903,Rural_Arterial_201802,756,rural,201802
mississippi,201903,Rural_Arterial_201802,990,rural,201802
oklahoma,201903,Rural_Arterial_201802,933,rural,201802
tennessee,201903,Rural_Arterial_201802,1039,rural,201802
texas,201903,Rural_Arterial_201802,4046,rural,201802
alaska,201903,Rural_Arterial_201802,78,rural,201802
arizona,201903,Rural_Arterial_201802,954,rural,201802
california,201903,Rural_Arterial_201802,2542,rural,201802
colorado,201903,Rural_Arterial_201802,783,rural,201802
hawaii,201903,Rural_Arterial_201802,71,rural,201802
idaho,201903,Rural_Arterial_201802,421,rural,201802
montana,201903,Rural_Arterial_201802,350,rural,201802
nevada,201903,Rural_Arterial_201802,300,rural,201802
